Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 11:00am
MATH 2914-002,instructor,"Jordan, Susan M.","Cox, Allie M."
MATH 2914-002,room,Corley 101,Corley 268
MATH 2914-003,time,R 2:30pm,R 11:00am
MATH 2924-002,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,instructor,"Limperis, Thomas G.","Overduin, Matthew D."
MATH 2924-003,time,R 9:30am,T 2:30pm
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,time,MWF 11:00am,MWF 8:00am
MATH 2934-002,time,R 11:00am,T 8:00am
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 312
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 312
MATH 0903-001,instructor,Staff 3,"Winn, Janet L."
MATH 1113-001,instructor,Staff 3,"Winn, Janet L."
MATH 0903-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1113-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 0803-004,instructor,Staff 2,Staff
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-TC2,instructor,"King, Jamie L.","Ballard, Kasey L."
MATH 1113-006,instructor,"Taylor, Teresa L.","Jordan, Susan M."
MATH 1113-006,time,TR 9:30am,TR 2:30pm
MATH 1113-006,room,Corley 104,Corley 101
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 2703-002,instructor,"Limperis, Thomas G.","Yousuf, Marium"
MATH 2703-002,time,TR 11:00am,TR 9:30am
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-002,time,MWF 9:00am,MWF 11:00am
MATH 1003-007,instructor,Staff,"Jordan, Susan M."
MATH 1003-007,room,,Corley 101
STAT 2163-004,instructor,Staff,"King, Jamie L."
STAT 2163-004,room,,Corley 267
