Course ID,Field,Before,After
MATH 1113-F01,time,MWF 10:00am,MWF 8:00am
MATH 1914-001,instructor,"Cox, Allie M.","Growns, Landon C."
MATH 1914-001,time,T 9:30am,R 8:00am
MATH 2914-001,time,R 9:30am,T 2:30pm
MATH 2914-003,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2914-003,room,Corley 101,Corley 268
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2924-003,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 2924-003,time,MWF 10:00am,MWF 9:00am
MATH 2934-001,instructor,Staff,"Yousuf, Marium"
MATH 2934-002,instructor,Staff,"Limperis, Thomas G."
MATH 2934-002,room,Corley 101,Corley 103
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 1:00pm
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 1:00pm
MATH 1003-001,room,Corley 103,Corley 267
MATH 0903-001,instructor,Staff 3,Staff
MATH 1113-001,instructor,Staff 3,Staff
MATH 1113-006,time,TR 9:30am,TR 8:00am
MATH 1113-006,room,Corley 104,Corley 102
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2223-001,time,MWF 11:00am,MWF 9:00am
MATH 2703-002,instructor,"Limperis, Thomas G.","Jordan, Susan M."
MATH 2703-002,time,TR 11:00am,TR 9:30am
MATH 2703-002,room,Rothwell 206,Corley 101
MATH 2703-TC1,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 4003-001,time,MWF 9:00am,MWF 11:00am
STAT 3113-001,time,MWF 11:00am,MWF 8:00am
MATH 1003-007,instructor,Staff,"Jordan, Susan M."
MATH 1003-007,time,MWF 1:00pm,MWF 2:00pm
MATH 1003-007,room,,Corley 101
STAT 2163-004,instructor,Staff,"Bain, Leslie M."
STAT 2163-004,room,,Corley 104
