Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 9:00am
MATH 1914-003,instructor,"Ballard, Kasey L.","Bain, Leslie M."
MATH 2914-001,instructor,"Jordan, Susan M.","Growns, Landon C."
MATH 2914-001,time,MWF 9:00am,MWF 8:00am
MATH 2914-003,instructor,"Yousuf, Marium","Jordan, Susan M."
MATH 2924-002,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2924-002,time,MWF 12:00pm,MWF 1:00pm
MATH 2924-003,room,Rothwell 206,Rothwell 306
MATH 2934-001,instructor,Staff,"Xiao, Xinli"
MATH 2934-002,instructor,Staff,"Yousuf, Marium"
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 312
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 312
MATH 0803-001,instructor,"Winn, Janet L.","King, Jamie L."
MATH 1003-001,instructor,"Winn, Janet L.","King, Jamie L."
MATH 0803-003,room,Corley 103,Corley 267
MATH 1003-003,room,Corley 103,Corley 267
MATH 0903-001,instructor,Staff 3,Staff
MATH 1113-001,instructor,Staff 3,Staff
MATH 0903-TC1,instructor,Staff,"Growns, Landon C."
MATH 1113-TC1,instructor,Staff,"Growns, Landon C."
MATH 1110-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 1113-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 0803-004,instructor,Staff 2,Staff
MATH 0803-004,time,MWF 11:00am,MWF 9:00am
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-006,instructor,"King, Jamie L.","Winn, Janet L."
MATH 1003-TC2,instructor,"King, Jamie L.","Ballard, Kasey L."
MATH 1113-006,time,TR 9:30am,TR 8:00am
MATH 1113-006,room,Corley 104,Corley 102
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Cox, Allie M."
MATH 2703-TC1,instructor,"Jordan, Susan M.","Ballard, Kasey L."
MATH 3243-001,time,MWF 10:00am,MWF 8:00am
MATH 3243-002,instructor,"Limperis, Thomas G.","Overduin, Matthew D."
STAT 2163-TC1,instructor,"Bain, Leslie M.","Yousuf, Marium"
STAT 2163-004,instructor,Staff,"Yousuf, Marium"
STAT 2163-004,room,,Rothwell 312
