Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 10:00am
MATH 1914-003,room,Corley 102,Corley 104
MATH 2914-003,instructor,"Yousuf, Marium","Jordan, Susan M."
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2934-001,instructor,Staff,"Limperis, Thomas G."
MATH 2934-001,time,MWF 10:00am,MWF 11:00am
MATH 2934-002,instructor,Staff,"Overduin, Matthew D."
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 212
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 212
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 0903-002,time,MWF 8:00am,MWF 2:00pm
MATH 1113-002,time,TR 8:00am,TR 2:30pm
MATH 1110-003,time,MW 2:00pm,TR 1:00pm
MATH 0803-004,instructor,Staff 2,Staff
MATH 1003-004,instructor,Staff 2,Staff
MATH 1113-006,room,Corley 104,Corley 102
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2703-001,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 2703-001,time,MWF 10:00am,MWF 8:00am
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 3243-002,time,MWF 9:00am,MWF 1:00pm
STAT 2163-004,instructor,Staff,"Bain, Leslie M."
STAT 2163-004,room,,Rothwell 221
