Course ID,Field,Before,After
MATH 1914-001,time,MWF 8:00am,MWF 9:00am
MATH 1914-001,room,Corley 101,Corley 268
MATH 2914-003,room,Corley 101,Corley 267
MATH 2924-001,time,R 1:00pm,T 1:00pm
MATH 2924-002,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2924-002,time,MWF 12:00pm,MWF 1:00pm
MATH 2934-001,time,MWF 10:00am,MWF 8:00am
MATH 2934-002,instructor,Staff,"Yousuf, Marium"
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 306
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 306
MATH 0903-001,instructor,Staff 3,"Growns, Landon C."
MATH 1113-001,instructor,Staff 3,"Growns, Landon C."
MATH 0903-002,time,MWF 8:00am,MWF 2:00pm
MATH 1113-002,time,TR 8:00am,TR 2:30pm
MATH 0803-004,instructor,Staff 2,Staff
MATH 1003-004,instructor,Staff 2,Staff
MATH 1003-006,instructor,"King, Jamie L.","Jordan, Susan M."
MATH 1003-006,time,MWF 9:00am,MWF 10:00am
MATH 1003-006,room,Rothwell 221,Corley 101
MATH 1113-006,time,TR 9:30am,TR 8:00am
MATH 1113-006,room,Corley 104,Corley 102
MATH 2703-001,time,MWF 10:00am,MWF 8:00am
MATH 2703-TC1,instructor,"Jordan, Susan M.","Overduin, Matthew D."
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 4003-001,time,MWF 9:00am,MWF 2:00pm
MATH 1003-007,instructor,Staff,"Jordan, Susan M."
MATH 1003-007,time,MWF 1:00pm,MWF 2:00pm
MATH 1003-007,room,,Corley 101
STAT 2163-004,instructor,Staff,"King, Jamie L."
STAT 2163-004,room,,Corley 268
