Course ID,Field,Before,After
MATH 1914-001,instructor,"Cox, Allie M.","Jordan, Susan M."
MATH 1914-001,time,MWF 8:00am,MWF 11:00am
MATH 2914-001,time,MWF 9:00am,MWF 10:00am
MATH 2914-002,time,MWF 1:00pm,MWF 2:00pm
MATH 2914-003,instructor,"Yousuf, Marium","Jordan, Susan M."
MATH 2914-003,time,MWF 2:00pm,MWF 1:00pm
MATH 2924-002,instructor,"Yousuf, Marium","Limperis, Thomas G."
MATH 2924-002,time,MWF 12:00pm,MWF 2:00pm
MATH 2934-001,instructor,Staff,"Yousuf, Marium"
MATH 2934-001,time,MWF 10:00am,MWF 8:00am
MATH 2934-002,instructor,Staff,"Overduin, Matthew D."
MATH 2934-002,time,MWF 11:00am,MWF 9:00am
MATH 2934-002,time,R 11:00am,T 8:00am
MATH 4123-001,instructor,Staff,"Limperis, Thomas G."
MATH 4123-001,time,MWF 8:00am,MWF 9:00am
MATH 4123-001,room,Corley 268,Rothwell 206
MATH 4123-H01,instructor,Staff,"Limperis, Thomas G."
MATH 4123-H01,time,MWF 8:00am,MWF 9:00am
MATH 4123-H01,room,Corley 268,Rothwell 206
MATH 1003-001,room,Corley 103,Corley 267
MATH 0903-001,instructor,Staff 3,"King, Jamie L."
MATH 1113-001,instructor,Staff 3,"King, Jamie L."
MATH 0903-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 1113-002,instructor,"Winn, Janet L.","Growns, Landon C."
MATH 0903-TC1,instructor,Staff,"Bain, Leslie M."
MATH 1113-TC1,instructor,Staff,"Bain, Leslie M."
MATH 1110-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 1113-003,instructor,"Growns, Landon C.","Winn, Janet L."
MATH 0803-004,instructor,Staff 2,"Winn, Janet L."
MATH 1003-004,instructor,Staff 2,"Winn, Janet L."
MATH 1003-005,instructor,"Winn, Janet L.","King, Jamie L."
MATH 1003-005,time,MWF 10:00am,MWF 9:00am
MATH 1003-005,room,Corley 104,Corley 103
MATH 1003-006,instructor,"King, Jamie L.","Growns, Landon C."
MATH 1003-006,time,MWF 9:00am,MWF 11:00am
MATH 1003-TC2,instructor,"King, Jamie L.","Growns, Landon C."
MATH 1113-006,time,TR 9:30am,TR 2:30pm
MATH 1113-006,room,Corley 104,Corley 102
MATH 1113-TC2,instructor,"Ballard, Kasey L.","Taylor, Teresa L."
MATH 1203-TC1,instructor,"Bain, Leslie M.","Cox, Allie M."
MATH 2703-001,instructor,"Jordan, Susan M.","Limperis, Thomas G."
MATH 2703-001,time,MWF 10:00am,MWF 11:00am
MATH 2703-001,room,Corley 101,Rothwell 212
MATH 2703-002,instructor,"Limperis, Thomas G.","Jordan, Susan M."
MATH 2703-002,room,Rothwell 206,Corley 101
MATH 2703-TC1,instructor,"Jordan, Susan M.","Yousuf, Marium"
MATH 3243-002,instructor,"Limperis, Thomas G.","Xiao, Xinli"
MATH 4003-001,time,MWF 9:00am,MWF 1:00pm
MATH 4971-001,time,T 11:00am,W 12:00pm
STAT 2163-001,instructor,"King, Jamie L.","Bain, Leslie M."
STAT 2163-002,time,MWF 9:00am,MWF 2:00pm
MATH 1003-007,instructor,Staff,"Ballard, Kasey L."
MATH 1003-007,time,MWF 1:00pm,MWF 9:00am
MATH 1003-007,room,,Corley 104
STAT 2163-004,instructor,Staff,"Yousuf, Marium"
STAT 2163-004,room,,Ross Pendergraft Library 334
